Date,Open,High,Low,Close,Volume,Currency
2020-12-13,0.50589,0.52755,0.48652,0.51416,1275094528,USD
2020-12-14,0.51392,0.5181,0.48986,0.49747,869688000,USD
2020-12-15,0.49735,0.50706,0.46489,0.46783,1263299328,USD
2020-12-16,0.46777,0.57337,0.43985,0.5712,2502959360,USD
2020-12-17,0.57087,0.65864,0.54263,0.5779,3450251520,USD
2020-12-18,0.57794,0.61238,0.5516,0.58348,1962898816,USD
2020-12-19,0.58344,0.60299,0.56653,0.57659,1495304064,USD
2020-12-20,0.57665,0.58642,0.534,0.55634,1231328000,USD
2020-12-21,0.55604,0.56909,0.50019,0.51448,1565172864,USD
2020-12-22,0.51439,0.5215,0.40335,0.44732,2960553984,USD
2020-12-23,0.44685,0.44785,0.21523,0.26041,8376465408,USD
2020-12-24,0.2604,0.37492,0.24245,0.33782,6509853184,USD
2020-12-25,0.33781,0.38265,0.28206,0.3182,5995812352,USD
2020-12-26,0.31803,0.32559,0.28462,0.29461,3004681216,USD
2020-12-27,0.29463,0.30993,0.26792,0.28388,2806205952,USD
2020-12-28,0.28394,0.3082,0.23734,0.24929,2760758272,USD
2020-12-29,0.24923,0.24996,0.17428,0.22151,7623260672,USD
2020-12-30,0.22152,0.23525,0.19217,0.21131,4721951232,USD
2020-12-31,0.2113,0.2285,0.20543,0.21925,2807649024,USD
2021-01-01,0.21928,0.24997,0.21643,0.2372,2982321408,USD
2021-01-02,0.23727,0.23806,0.2114,0.22097,2476713984,USD
2021-01-03,0.22087,0.23783,0.21542,0.22479,2491448832,USD
2021-01-04,0.22495,0.25988,0.21767,0.23575,3141624320,USD
2021-01-05,0.2357,0.24183,0.21821,0.22544,2456033792,USD
2021-01-06,0.22547,0.27192,0.22162,0.24871,3530266112,USD
2021-01-07,0.24868,0.36878,0.2457,0.32348,7312687104,USD
2021-01-08,0.32355,0.34591,0.28574,0.3208,3826379008,USD
2021-01-09,0.32072,0.33904,0.30626,0.32432,2378149376,USD
2021-01-10,0.32433,0.36658,0.28928,0.31521,3308580864,USD
2021-01-11,0.31501,0.31567,0.25579,0.28754,3786924800,USD
2021-01-12,0.2875,0.30897,0.27787,0.29246,2380252416,USD
2021-01-13,0.29256,0.30989,0.28544,0.30575,1254182272,USD
2021-01-14,0.30572,0.30864,0.28358,0.2966,1480599680,USD
2021-01-15,0.2966,0.30301,0.26257,0.28037,1402128128,USD
2021-01-16,0.28022,0.29628,0.27543,0.27951,1176438400,USD
2021-01-17,0.27923,0.28538,0.26876,0.27742,900716672,USD
2021-01-18,0.27742,0.28863,0.27171,0.28539,904129280,USD
